True_x,Input_y,Predicted_x
49.8039,1026.4914,49.03238296508789
49.8039,1026.4036,49.00688934326172
49.8039,1026.3161,48.98146438598633
49.8039,1026.4665,49.025150299072266
49.8039,1026.389,49.00265121459961
49.8039,1026.3779,48.999412536621094
49.8039,1026.3071,48.97886657714844
49.8039,1026.4391,49.01719665527344
49.8039,1026.3253,48.984153747558594
49.8039,1026.367,48.996246337890625
49.8039,1026.308,48.97911834716797
49.8039,1026.4974,49.034114837646484
49.8039,1026.3068,48.97876739501953
49.8039,1026.5255,49.042293548583984
49.8039,1026.579,49.057823181152344
49.8039,1026.3699,48.99709701538086
57.2549,1051.7148,56.357032775878906
57.2549,1051.6165,56.3285026550293
57.2549,1051.7129,56.35649871826172
57.2549,1051.6144,56.327880859375
57.2549,1051.5745,56.31629180908203
57.2549,1051.6086,56.32621383666992
57.2549,1051.5604,56.312217712402344
57.2549,1051.7143,56.35689163208008
57.2549,1051.6015,56.32414627075195
57.2549,1051.4987,56.29429244995117
57.2549,1051.6509,56.33848190307617
57.2549,1051.6599,56.34111404418945
57.2549,1051.5485,56.308753967285156
57.2549,1051.5321,56.30398941040039
57.2549,1051.5408,56.3065299987793
57.2549,1051.4134,56.26952362060547
57.2549,1051.5424,56.30696487426758
57.2549,1051.5314,56.30379104614258
57.2549,1051.4746,56.287288665771484
57.2549,1051.6632,56.342071533203125
57.2549,1051.4908,56.2920036315918
57.2549,1051.6657,56.34279251098633
57.2549,1051.6636,56.342185974121094
57.2549,1051.4832,56.28978729248047
57.2549,1051.7749,56.3745002746582
57.2549,1051.5263,56.302303314208984
57.2549,1051.5156,56.299198150634766
57.2549,1051.4584,56.282588958740234
57.2549,1051.7655,56.37177658081055
57.2549,1051.7114,56.35606002807617
57.2549,1051.5629,56.31293869018555
57.2549,1051.5101,56.297611236572266
57.2549,1051.6573,56.34033203125
57.2549,1051.6165,56.3285026550293
57.2549,1051.6145,56.32791519165039
57.2549,1051.7068,56.354732513427734
57.2549,1051.6916,56.350303649902344
57.2549,1051.4296,56.27422332763672
57.2549,1051.5494,56.30902099609375
57.2549,1051.5744,56.316280364990234
57.2549,1051.5544,56.31047058105469
57.2549,1051.6059,56.32542037963867
57.2549,1051.742,56.36493682861328
57.2549,1051.5889,56.320491790771484
57.2549,1051.6193,56.32931137084961
57.2549,1051.4208,56.27166748046875
57.2549,1051.6386,56.33491897583008
57.2549,1051.571,56.315277099609375
57.2549,1051.4988,56.29432678222656
57.2549,1051.579,56.3176155090332
64.7059,1076.4138,64.53207397460938
64.7059,1076.3217,64.49877166748047
64.7059,1076.2904,64.48745727539062
64.7059,1076.3614,64.51313018798828
64.7059,1076.2296,64.4654769897461
64.7059,1076.1947,64.45285034179688
64.7059,1076.1675,64.44303131103516
64.7059,1076.1968,64.45362091064453
64.7059,1076.2963,64.4896011352539
64.7059,1076.4206,64.53453063964844
64.7059,1076.2944,64.4889144897461
64.7059,1076.3081,64.49385833740234
64.7059,1076.3121,64.49530792236328
64.7059,1076.3808,64.52013397216797
64.7059,1076.1713,64.44439697265625
64.7059,1076.3561,64.51119995117188
64.7059,1076.4368,64.54039001464844
64.7059,1076.2878,64.48651123046875
64.7059,1076.2235,64.46326446533203
64.7059,1076.3956,64.52550506591797
64.7059,1076.3817,64.52046966552734
64.7059,1076.2401,64.46927642822266
64.7059,1076.3965,64.52582550048828
64.7059,1076.3631,64.51374053955078
64.7059,1076.2345,64.46725463867188
64.7059,1076.4402,64.54161834716797
64.7059,1076.3273,64.50079345703125
64.7059,1076.2401,64.46927642822266
64.7059,1076.372,64.51695251464844
64.7059,1076.269,64.47972106933594
64.7059,1076.4591,64.54844665527344
64.7059,1076.3589,64.5122299194336
64.7059,1076.363,64.51371765136719
64.7059,1076.1938,64.45252227783203
64.7059,1076.3224,64.49901580810547
64.7059,1076.3842,64.52136993408203
64.7059,1076.2349,64.46739196777344
64.7059,1076.2928,64.48832702636719
64.7059,1076.3298,64.50170135498047
64.7059,1076.1628,64.44134521484375
64.7059,1076.4488,64.54473114013672
64.7059,1076.3003,64.49104309082031
64.7059,1076.5469,64.5802001953125
64.7059,1076.3601,64.51265716552734
64.7059,1076.4894,64.55941772460938
64.7059,1076.2907,64.48757934570312
64.7059,1076.3341,64.50325012207031
64.7059,1076.2717,64.48070526123047
64.7059,1076.4416,64.5421142578125
64.7059,1076.4355,64.53992462158203
72.1569,1100.7945,71.42990112304688
72.1569,1100.8759,71.4521484375
72.1569,1100.7197,71.40943908691406
72.1569,1100.7592,71.42021942138672
72.1569,1100.4629,71.33922576904297
72.1569,1100.6982,71.40355682373047
72.1569,1100.71,71.40677642822266
72.1569,1100.7059,71.4056625366211
72.1569,1100.7916,71.42908477783203
72.1569,1100.6229,71.38298034667969
72.1569,1100.5745,71.3697280883789
72.1569,1100.4817,71.34435272216797
72.1569,1100.6323,71.38554382324219
72.1569,1100.6706,71.3960189819336
72.1569,1100.5209,71.35509490966797
72.1569,1100.6619,71.39363098144531
72.1569,1100.7157,71.4083251953125
72.1569,1100.6886,71.40092468261719
72.1569,1100.6848,71.39990997314453
72.1569,1100.6797,71.39849853515625
72.1569,1100.6481,71.38985443115234
72.1569,1100.7037,71.40506744384766
72.1569,1100.6849,71.3999252319336
72.1569,1100.6519,71.39091491699219
72.1569,1100.626,71.3838119506836
72.1569,1100.6931,71.40215301513672
72.1569,1100.6672,71.39507293701172
72.1569,1100.6257,71.38372802734375
72.1569,1100.7147,71.4080581665039
72.1569,1100.7824,71.42656707763672
72.1569,1100.6929,71.40210723876953
72.1569,1100.6296,71.38479614257812
72.1569,1100.7426,71.41568756103516
72.1569,1100.7369,71.41413116455078
72.1569,1100.6352,71.3863296508789
72.1569,1100.6379,71.3870620727539
72.1569,1100.8421,71.4428939819336
72.1569,1100.7301,71.41228485107422
72.1569,1100.7083,71.40631103515625
72.1569,1100.7432,71.4158706665039
72.1569,1100.6194,71.38200378417969
